OpenTime,Open,High,Low,Close,Volume,SMA_10,RSI,MACD,MACD_Signal
27/06/2024,60864.98,62389.22,60606.63,61706.47,18344.28631,63130.603,27.53711,-1651.09556,-1095.326062
28/06/2024,61706.46,62225.31,60063,60427.84,24821.19255,62655.855,26.25746,-1765.58156,-1229.377163
29/06/2024,60427.84,61224,60383.77,60986.68,11509.55904,62257.086,28.52127,-1790.57816,-1341.617363
30/06/2024,60986.68,63058.76,60712.21,62772.01,17326.30136,62047.288,35.57866,-1647.33746,-1402.761382
01/07/2024,62772.01,63861.76,62497.2,62899.99,24547.10538,61922.931,36.64458,-1506.12952,-1423.43501
02/07/2024,62900,63288.83,61806.28,62135.47,18573.11875,61710.277,38.24445,-1439.32001,-1426.61201
03/07/2024,62135.46,62285.94,59400,60208.58,32160.11127,61410.134,33.74047,-1524.28589,-1446.146786
04/07/2024,60208.57,60498.19,56771,57050.01,54568.77276,61085.805,27.92159,-1825.44952,-1522.007332
05/07/2024,57050.02,57546,53485.93,56628.79,81348.24756,60568.083,28.41123,-2074.20268,-1632.446401
06/07/2024,56628.79,58475,56018,58230.13,21651.31558,60304.597,34.03186,-2117.7149,-1729.5001
07/07/2024,58230.13,58449.46,55724.37,55857.81,19118.93918,59719.731,31.80829,-2316.91706,-1846.983493
08/07/2024,55857.81,58236.73,54260.16,56714.62,48090.2049,59348.409,40.14011,-2378.23401,-1953.233595
09/07/2024,56714.61,58296,56289.45,58050,27732.20788,59054.741,39.54941,-2292.64593,-2021.116062
10/07/2024,58050,59470,57157.79,57725.85,24951.73799,58550.125,40.95529,-2225.32084,-2061.957017
11/07/2024,57725.85,59650,57050,57339.89,29761.05735,57994.115,37.07955,-2178.00231,-2085.166076
12/07/2024,57339.89,58526.68,56542.47,57889.1,23652.4569,57569.478,42.14913,-2072.29723,-2082.592307
13/07/2024,57889.09,59850,57756.63,59204.02,15357.74519,57469.022,44.73352,-1860.97003,-2038.267852
14/07/2024,59204.01,61420.69,59194.01,60797.91,21178.33907,57843.812,44.10123,-1547.04473,-1940.023228
15/07/2024,60797.91,64900,60632.3,64724.14,38690.9782,58653.347,54.44234,-970.25819,-1746.070221
16/07/2024,64724.06,65388.97,62373.24,65043.99,42530.52915,59334.733,57.2399,-481.78773,-1493.213724
17/07/2024,65044,66128.63,63854,64087.99,29567.52954,60157.751,60.1471,-169.85461,-1228.5419
18/07/2024,64087.99,65133.3,63238.48,63987.92,22568.7225,60885.081,71.60353,68.49032,-969.1354564
19/07/2024,63987.92,67386,63300.67,66660,35634.72739,61746.081,77.39539,467.60466,-681.7874339
20/07/2024,66660.01,67598,66222.46,67139.96,14386.92434,62687.492,75.92052,813.25965,-382.7780162
21/07/2024,67139.97,68366.66,65777,68165.34,21819.11191,63770.037,88.8498,1156.60075,-74.90226208
22/07/2024,68165.35,68474.55,66559.97,67532.01,21451.04303,64734.328,84.63469,1361.8975,212.4576913
23/07/2024,67532,67750.98,65441.08,65936.01,31406.15316,65407.527,74.83465,1379.9061,445.9473726
24/07/2024,65936,67102.01,65111,65376,23082.56277,65865.336,73.73922,1333.61681,623.4812595
25/07/2024,65376.01,66175.49,63456.7,65799.95,35126.42934,65972.917,76.19071,1315.97173,761.9793535
26/07/2024,65799.95,68200,65722.63,67907.99,24244.36023,66259.317,78.28643,1455.31314,900.6461117
27/07/2024,67908,69399.99,66650,67896.5,31710.21921,66640.168,76.49132,1546.98242,1029.913374
